ID;BD_OBJETO_PRES
51201;Sueldos                                                                                             
51202;Salarios por Jornal                                                                                 
51203;Aguinaldos                                                                                          
51204;Sobresueldos                                                                                        
51206;Complementos                                                                                        
51207;Beneficios Adicionales                                                                              
513;Remuneraciones Extraordinarias                                                                      
51301;Horas Extraordinarias                                                                               
51302;Beneficios Extraordinarios                                                                          
514;Contribuciones Patronales a Inst de Seg Social Públicas                                             
51401;Por Remuneraciones Permanentes                                                                      
51402;Por Remuneraciones Eventuales                                                                       
51403;Por Remuneraciones Extraordinarias                                                                  
515;Contribuciones Patronales a Inst de Seg Social Privadas                                             
51501;Por Remuneraciones Permanentes                                                                      
51502;Por Remuneraciones Eventuales                                                                       
51503;Por Remuneraciones Extraordinarias                                                                  
516;Gastos de Representación                                                                            
51601;Por Prestación de Servicios en el País                                                              
51602;Por Prestación de Servicios en el Exterior                                                          
517;Indemnizaciones                                                                                     
51701;Al Personal de Servicios Permanentes                                                                
51702;Al Personal de Servicios Eventuales                                                                 
518;Comisiones por Servicios Personales                                                                 
51801;Comisiones por Ventas                                                                               
51802;Comisiones por Recaudaciones                                                                        
51803;Comisiones por Recuperación de Carteras                                                             
51899;Comisiones por Procedencia Diversas                                                                 
519;Remuneraciones Diversas                                                                             
51901;Honorarios                                                                                          
51902;Remuneraciones por Servicios Especiales                                                             
51903;Prestaciones Sociales al Personal                                                                   
51999;Remuneraciones Diversas                                                                             
53;Prestaciones de la Seguridad Social                                                                 
531;Beneficios Previsionales                                                                            
53101;Pensiones por Vejez                                                                                 
53102;Pensiones por Invalidez                                                                             
53103;Pensiones por Viudez                                                                                
53104;Pensiones por Orfandad                                                                              
53105;Beneficios por Incapacidad Temporal                                                                 
53106;Beneficios Adicionales                                                                              
53199;Pensiones y Jubilaciones Diversas                                                                   
54;Adquisiciones de Bienes y Servicios                                                                 
541;Bienes de Uso y Consumo                                                                             
54101;Productos Alimenticios para Personas                                                                
54102;Productos Alimenticios para Animales                                                                
54103;Productos Agropecuarios y Forestales                                                                
54104;Productos Textiles y Vestuarios                                                                     
54105;Productos de Papel y Cartón                                                                         
54106;Productos de Cuero y Caucho                                                                         
54107;Productos Químicos                                                                                  
54108;Productos Farmacéuticos y Medicinales                                                               
54109;Llantas y Neumáticos                                                                                
54110;Combustibles y Lubricantes                                                                          
54111;Minerales no Métalicos y Productos Derivados                                                        
54112;Minerales Métalicos y Productos Derivados                                                           
54113;Materiales e Instrumental de Laboratorios y uso Médico                                              
54114;Materiales de Oficina                                                                               
54115;Materiales Informáticos                                                                             
54116;Libros , Textos, Utiles de Enseñanza y Publicaciones                                                
54117;Materiales de Defensa y Seguridad Pública                                                           
54118;Herramientas, Repuestos y Accesorios                                                                
54119;Materiales Eléctricos                                                                               
54121;Especies Municipales Diversas                                                                       
54122;Vacunas para Humanos                                                                                
54123;Oxígeno                                                                                             
54199;Bienes de Uso y Consumo Diversos                                                                    
542;Servicios Básicos                                                                                   
54201;Servicios de Energía Eléctrica                                                                      
54202;Servicios de Agua                                                                                   
54203;Servicios de Telecomunicaciones                                                                     
54204;Servicios de Correos                                                                                
543;Servicios Generales y Arrendamientos                                                                
54301;Mantenimientos y Reparaciones de Bienes Muebles                                                     
54302;Mantenimientos y Reparaciones de Vehículos                                                          
54303;Mantenimientos y Reparaciones de Bienes Inmuebles                                                   
54304;Transportes, Fletes y Almacenamientos                                                               
54305;Servicios de Publicidad                                                                             
54306;Servicios de Vigilancia                                                                             
54307;Servicios de Limpiezas y Fumigaciones                                                               
54308;Servicios de Lavanderías y Planchado                                                                
54309;Servicios de Laboratorios                                                                           
54310;Servicios de Alimentación                                                                           
54311;Servicios Educativos                                                                                
54312;Servicios Portuarios, Aeroportuarios y Ferroviarios                                                 
54313;Impresiones, Publicaciones y Reproducciones                                                         
54314;Atenciones Oficiales                                                                                
54315;Gastos Reservados                                                                                   
54316;Arrendamiento de Bienes Muebles                                                                     
54317;Arrendamiento de Bienes Inmuebles                                                                   
54318;Arrendamiento por el uso de Bienes Intangibles                                                      
54319;Servicios de Inspección                                                                             
54399;Servicios Generales y Arrendamientos Diversos                                                       
544;Pasajes y Viáticos                                                                                  
54401;Pasajes al Interior                                                                                 
54402;Pasajes al Exterior                                                                                 
54403;Viáticos por Comisión Interna                                                                       
54404;Viáticos por Comisión Externa                                                                       
545;Consultorías, Estudios e Investigaciones                                                            
54501;Servicios Médicos                                                                                   
54502;Servicios del Medio Ambiente y Recursos Naturales                                                   
54503;Servicios Jurídicos                                                                                 
54504;Servicios de Contabilidad y Auditoría                                                               
54505;Servicios de Capacitación                                                                           
54506;Servicios de Fiscalización                                                                          
54507;Desarrollos Informáticos                                                                            
54508;Estudios e Investigaciones                                                                          
54599;Consultorías, Estudios e Investigaciones Diversas                                                   
549;Crédito Fiscal                                                                                      
54901;Crédito Fiscal                                                                                      
55;Gastos Financieros y Otros                                                                          
551;Intereses y Comisiones de Títulos Valores en el Mercado Nac.                                        
55101;Intereses y Comisiones de Bonos del Estado                                                          
55102;Intereses y Comisiones de Letras del Tesoro                                                         
55199;Intereses y Comisiones de Títulos Valores Diversos                                                  
552;Intereses y Comisiones de Títulos Valores en el Mercado Exte                                        
55201;Intereses y Comisiones de Bonos del Estado                                                          
55202;Intereses y Comisiones de Letras del Tesoro                                                         
55299;Intereses y Comisiones de Títulosvalores Diversos                                                   
553;Intereses y Comisiones de Empréstitos Internos                                                      
55301;De Gobierno Central                                                                                 
55302;De Instituciones Descentralizadas no Empresariales                                                  
55303;De Empresas Públicas no Financieras                                                                 
55304;De Empresas Públicas Financieras                                                                    
55305;De Instituciones de Seguridad Social                                                                
55306;De Municipalidades                                                                                  
55307;De Empresas Privadas no Financieras                                                                 
55308;De Empresas Privadas Financieras                                                                    
55309;De Organismos sin Fines de Lucro                                                                    
55310;De Personas Naturales                                                                               
554;Intereses y Comisiones de Empréstitos Externos                                                      
55401;De Empresas Privadas no Financieras                                                                 
55402;De Empresas Privadas Financieras                                                                    
55403;De Gobiernos y Organismos Gubernamentales                                                           
55404;De Organismos Multilaterales                                                                        
55405;De Organismos sin Fines de Lucro                                                                    
55406;De Personas Naturales                                                                               
555;Impuestos, Tasas y Derechos                                                                         
55501;Impuesto sobre la Renta                                                                             
55502;Impuesto sobre la Transferencia de Bienes Raices                                                    
55503;Impuesto sobre el Comercio Exterior                                                                 
55504;Impuesto a la Transf de Bienes Muebles y a la Prest de Serv.                                        
55505;Anticipo de Impuestos sobre la Renta                                                                
55506;(-) Aplicación de Impuesto Sobre la  Renta                                                          
55507;Tasas                                                                                               
55508;Derechos                                                                                            
55509;Devoluciones de Impuestos Percibidos en Exceso                                                      
55510;Devolucion por Liquidacion del Impuesto Sobre la Renta                                              
55511;Devol. a Exportadores del Imp. a la Trans. de Bienes Mueb. y a la Prest. de Serv                    
55599;Impuestos, Tasas y Derechos Diversos                                                                
556;Seguros, Comisiones y Gastos Bancarios                                                              
55601;Primas y Gastos de Seguros de Personas                                                              
55602;Primas y Gastos de Seguros de Bienes                                                                
55603;Comisiones y Gastos Bancarios                                                                       
557;Otros Gastos no Clasificados                                                                        
55701;Diferenciales Cambiarios                                                                            
55702;Sentencias Judiciales                                                                               
55703;Multas y Costas Judiciales                                                                          
55704;Comisiones y Descuentos sobre Ventas                                                                
55799;Gastos Diversos                                                                                     
559;Crédito Fiscal                                                                                      
55901;Crédito Fiscal                                                                                      
56;Transferencias Corrientes                                                                           
561;Transferencias Corrientes por Aporte Fiscal                                                         
56101;Tesoro Público Nacional                                                                             
5610100;Organo Legislativo                                                                                  
5610200;Corte de Cuentas de la República                                                                    
5610300;Tribunal Supremo Electoral                                                                          
5610301;Registro Nacional de las Personas Naturales                                                         
5610400;Tribunal de Servicio Civil                                                                          
5610500;Presidencia de la República                                                                         
5610501;Instituto Nacional de los Deportes de El Salvador                                                   
5610502;Instituto Salvadoreño de Protección al  Menor                                                       
5610503;Administración Nacional de Telecomunicaciones                                                       
5610504;Instituto Salvadoreño para el Desarrollo de la Mujer                                                
5610505;Fondo de Inversión Social para el Desarrollo Local                                                  
5610650;Instituto de Acceso a la Información Pública                                                        
5610700;Ramo de Hacienda                                                                                    
5610701;Lotería Nacional de Beneficencia                                                                    
5610702;Instituto Nacional de Pensiones de los Empleados Públicos                                           
5610703;Tesoro Público Nacional                                                                             
5610704;Fondo Salvadoreño para Estudios de Preinversión                                                     
5610800;Ramo de Relaciones Exteriores                                                                       
5610900;Ramo de la Defensa Nacional                                                                         
5610901;Instituto de Previsón Social de la Fuerza Armada                                                    
5610902;Centro Farmacéutico de la Fuerza Armada                                                             
5610903;Universidad Militar de El Salvador                                                                  
5611600;Organo Judicial                                                                                     
5611601;Caja Mutual del Abogado de El Salvador                                                              
5611602;Consejo Nacional de la Judicatura                                                                   
5611700;Fiscalía General de La República                                                                    
5611800;Procuraduría General de La República                                                                
5611900;Procuraduría para la Defensa de los Derechos Human                                                  
5612000;Ramo del Interior                                                                                   
5612002;Instituto Salvadoreño de Desarrollo Municipal                                                       
5612100;Ramo de Seguridad Pública y Justicia                                                                
5612101;Academia Nacional de Seguridad Pública                                                              
5612200;Ramo de Justicia                                                                                    
5612201;Centro Nacional de Registros                                                                        
5612202;Unidad Técnica Ejecutiva                                                                            
5613100;Ramo de Educación                                                                                   
5613101;Universidad de El Salvador                                                                          
5613102;Federación Salvadoreña de Futbol                                                                    
5613104;Fondo de Garantía para el Crédito Educativo                                                         
5613105;Caja Mutual de los Empleados del Ministerio de Educación                                            
5613200;Ramo de Salud Pública y Asistencia Social                                                           
5613201;Hospital Nacional Rosales                                                                           
5613202;"Hospital Nacional ""Benjamín Bloom""                                                                  "
5613203;"Hospital Nacional de Maternidad ""Dr. Raúl Arguello Escolán""                                         "
5613204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""                                           "
5613205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""                                            "
5613206;"Hospital Nacional ""San Juan de Dios"", Santa Ana                                                     "
5613207;"Hospital Nacional  ""Francisco Menéndez"", Ahuachapan                                                 "
5613208;"Hospital Nacional ""San Juan de Dios"", Sonsonate                                                     "
5613209;"Hospital Nacional ""Dr. Luís Edmundo Vásquez"", Chalatenango                                          "
5613210;"Hospital nacional ""San Rafael"", Nueva San Salvador                                                  "
5613211;"Hospital Nacional ""Santa Gertrudis"", San Vicente                                                    "
5613212;"Hospital Nacional "" Santa Teresa"" , Zacatecoluca                                                    "
5613213;"Hospital Nacional ""San Juan de Dios"", San Miguel                                                    "
5613214;"Hospital Nacional ""San Pedro"", Usulután                                                             "
5613215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil                                                "
5613216;Hospital Nacional de San Bartolo                                                                    
5613217;Hospital Nacional de Cojutepeque                                                                    
5613218;Hospital Nacional de La Unión                                                                       
5613219;Hospital Nacional de Ilobasco                                                                       
5613220;Hospital Nacional de Nueva Guadalupe                                                                
5613221;Hospital Nacional de Ciudad Barrios                                                                 
5613222;Hospital Nacional de Sensuntepeque                                                                  
5613223;Hospital Nacional de Chalchuapa                                                                     
5613224;Hospital Nacional de Metapán                                                                        
5613225;Hospital Nacional de San Francisco Gotera                                                           
5613226;Hospital Nacional de Santa Rosa de Lima                                                             
5613227;Hospital Nacional de Nueva Concepción                                                               
5613228;Hospital Nacional de Santiago de María                                                              
5613229;Hospital Nacional de Jiquilísco                                                                     
5613230;Hospital Nacional de Suchitoto                                                                      
5613231;Consejo Superior de Salud Pública                                                                   
5613232;Instituto Salvadoreño de Rehabilitación de Inválidos                                                
5613233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana                                                     "
5613234;Cruz Roja Salvadoreña                                                                               
5613300;Ramo de Trabajo y Previsión Social                                                                  
5613301;Instituto Salvadoreño de Fomento Cooperativo                                                        
5613302;Instituto Salvadoreño de Formación Profesional                                                      
5613303;Instituto Salvadoreño del Seguro Social                                                             
5613304;Fondo de Protección de Lisiados y Discapacitados                                                    
5613400;Ramo de Vivienda y Desarrollo Urbano                                                                
5613401;Fondo Nacional para la Vivienda Popular                                                             
5614100;Ramo de Economía                                                                                    
5614101;Comité Ejecutivo de la Feria Internacional de El Salvador                                           
5614102;Consejo Nacional de Ciencia y Tecnología                                                            
5614103;Consejo de Vigilancia de la Contaduría Pública y Auditoría                                          
5614104;Instituto Salvadoreño de Turísmo                                                                    
5614105;Consejo Salvadoreño del Café                                                                        
5614106;Comisión Ejecutiva Hidroeléctrica del Rio Lempa                                                     
5614107;Fondo de Financiamiento y Garantía para la Pequeña Empresa                                          
5614108;Corporación Salvadoreña de Turísmo                                                                  
5614109;Superintendencia General de Energía y Telecomunicaciones                                            
5614110;Superintendencia de Valores                                                                         
5614111;Superintendencia de Pensiones                                                                       
5614112;Corporación Salvadoreña de Inversiones                                                              
5614113;Instituto Nacional del Azúcar                                                                       
5614200;Ramo de Agricultura y Ganadería                                                                     
5614201;Instituto Salvadoreño de Transformación Agraria                                                     
5614202;Centro Nacional de Tecnología Agropecuaria y Forestal                                               
5614203;Escuela Nacional de Agricultura                                                                     
5614204;Banco de Tierras                                                                                    
5614300;Ramo de Obras Públicas                                                                              
5614301;Administración Nacional de Acueductos y Alcantarillados                                             
5614302;Fondo Social para la Vivienda                                                                       
5614303;Comisión Ejecutiva Portuaria Autónoma                                                               
5614400;Ramo de Medio Ambiente y Recursos Naturales                                                         
5614401;Fondo Ambiental de El Salvador                                                                      
5614500;Ramo de Transporte                                                                                  
562;Transferencias Corrientes al Sector Público                                                         
56201;Transferencias Corrientes al Sector Público                                                         
562010;Comisión  Antinarcoactividad                                                                        
5620100;Comite de Emergencia Nacional                                                                       
562020;Comisión Salvadoreña Antidrogas                                                                     
5620200;Corte de Cuentas de la República                                                                    
5620202;Instituto Salvadoreño de Desarrollo Municipal                                                       
5620300;Tribunal Supremo Electoral                                                                          
5620301;Registro Nacional de las Personas Naturales                                                         
5620400;Tribunal de Servicio Civil                                                                          
5620500;Transferencias Corrientes a la Presidencia de la República                                          
5620501;Instituto Nacional de los Deportes de El Salvador                                                   
5620502;Instituto Salvadoreño de Protección al Menor                                                        
5620503;Administración Nacional de Telecomunicaciones                                                       
5620504;Instituto Salvadoreño para el Desarrollo de la Mujer                                                
5620505;Fondo de Inversión Social para el Desarrollo Local                                                  
5620537;Fondo Solidario para la Familia Microempresaria (FOSOFAMILIA)                                       
5620551;Entidades de Apoyo a la Seguridad Pública                                                           
5620552;Consejo Nacional de Atención a la Persona Discapacitada                                             
5620553;Consejo Nacional para el Desarrollo Sostenible                                                      
5620554;Consejo Nacional de Desarrollo                                                                      
5620555;Comisión Nacional de Promoción de Exportaciones e Inverciones (CONADEI)                             
5620700;Ramo de Hacienda                                                                                    
5620701;Lotería Nacional de Beneficencia                                                                    
5620702;Instituto Nacional de Pensiones de los Empleados Públicos                                           
5620703;Tesoro Público Nacional                                                                             
5620704;Fondo Salvadoreño para Estudios de Preinversión                                                     
5620800;Ramo de Relaciones Exteriores                                                                       
5620801;NOT DEFINED                                                                                         
5620821;Alcaldía Municipal de Zacatecoluca                                                                  
5620900;Ramo de la Defensa Nacional                                                                         
5620901;Instituto de Previsión Social de la Fuerza Armada                                                   
5620902;Centro Farmacéutico de la Fuerza Armada                                                             
5620903;"Universidad Militar ""José Manuel Arce""                                                              "
5621500;Consejo Nacional de la Judicatura                                                                   
5621600;Organo Judicial                                                                                     
5621601;Caja Mutual del Abogado de El Salvador                                                              
5621602;Consejo Nacional de la Judicatura                                                                   
5621700;Fiscalia General de la República                                                                    
5621800;Procuraduria General de la República                                                                
5621900;Procuraduria para la Defensa de los Derechos Humanos                                                
5622000;Ramo del Interior                                                                                   
5622002;Instituto Salvadoreño de Desarrollo Municipal                                                       
5622051;Municipalidades                                                                                     
5622052;Cómite de Emergencia Nacional                                                                       
5622100;Ramo de Seguridad Pública                                                                           
5622101;Academia Nacional de Seguridad Pública                                                              
5622102;Unidad Técnica Ejecutiva                                                                            
562214;Alcaldias Municipales                                                                               
5622151;Comisión Antinarcoactividad                                                                         
5622152;Comisión Salvadoreña Antidrogas                                                                     
5622200;Ramo de Justicia                                                                                    
5622201;Centro Nacional de Registro                                                                         
5622202;Unidad Técnica Ejecutiva                                                                            
5622300;Ramo de Goberanción                                                                                 
5622301;Academia Nacional de Seguridad Pública                                                              
5622302;Unidad Técnica Ejecutiva                                                                            
5622303;Instituto Salvadoreño de Desarrollo Municipal                                                       
5622351;Comité de Emergencia Nacional                                                                       
5622400;Ramo de Justicia y Seguridad Pública                                                                
5622401;Academia Nacional de Seguridad Pública                                                              
5622402;Unidad Técnica Ejecutiva                                                                            
5622403;Consejo Nacional de Administración de Bienes                                                        
5623100;Ramo de Educación                                                                                   
5623101;Universidad de El Salvador                                                                          
5623102;Federación Salvadoreña de Futbol                                                                    
5623104;Fondo de Garantía para el Crédito Educativo                                                         
5623105;Caja Mutual de los Empleados del Ministerio de Educación                                            
5623106;Instituto Salvadoreño para el Desarrollo Integral de la Niñez y la Adolescencia                     
5623108;Consejo Nacional de la Niñez y de la Adolescencia                                                   
5623155;Instituto de Educación (Universidad de El Salvador)                                                 
5623163;Bono de Calidad Educativa (Parvularia)                                                              
5623164;Bono de Calidad Educativa (Básica)                                                                  
5623165;Bono de Calidad Educativa (Media)                                                                   
5623166;Becas Institutos de educación Media                                                                 
5623169;Transferencias a Casas de la Cultura                                                                
5623200;Ramo de Salud Pública y Asistencia Social                                                           
5623201;Hospital Nacional Rosales                                                                           
5623202;"Hospital Nacional ""Benjamin Bloom""                                                                  "
5623203;"Hospital Nacional de Maternidad ""Dr. Raúl Arguello Escolán""                                         "
5623204;"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez""                                           "
5623205;"Hospital Nacional Neumológico ""Dr. José Antonio Zaldaña""                                            "
5623206;"Hospital Nacional ""San Juan de Dios"", Santa Ana                                                     "
5623207;"Hospital Nacional ""Francisco Menéndez"", Ahuachapán                                                  "
5623208;"Hospital Nacional ""San Juan de Dios"", Sonsonate                                                     "
5623209;"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango                                          "
5623210;"Hospital Nacional ""San Rafael"", Nueva San Salvador                                                  "
5623211;"Hospital Nacional ""Santa Gertrudis"", San Vicente                                                    "
5623212;"Hospital Nacional ""Santa Teresa"", Zacatecoluca                                                      "
5623213;"Hospital Nacional ""San Juan de Dios"", San Miguel                                                    "
5623214;"Hospital Nacional ""San Pedro"", Usulután                                                             "
5623215;"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil                                                "
5623216;Hospital Nacional de San Bartolo                                                                    
5623217;Hospital Nacional de Cojutepeque                                                                    
5623218;Hospital Nacional de la Unión                                                                       
5623219;Hospital Nacional de Ilobasco                                                                       
5623220;Hospital Nacional de Nueva Guadalupe                                                                
5623221;Hospital Nacional de Ciudad Barrios                                                                 
5623222;Hospital Nacional de Sensuntepeque                                                                  
5623223;Hospital Nacional de Chalchuapa                                                                     
5623224;Hospital Nacional de Metapán                                                                        
5623225;Hospital Nacional de San Francisco Gotera                                                           
5623226;Hospital Nacional de Santa Rosa de Lima                                                             
5623227;Hospital Nacional de Nueva Concepción                                                               
5623228;Hospital Nacional de Santiago de María                                                              
5623229;Hospital Nacional de Jiquilisco                                                                     
5623230;Hospital Nacional de Suchitoto                                                                      
5623231;Consejo Superior de Salud Pública                                                                   
5623232;Instituto Salvadoreño de Rehabilitación de Inválidos                                                
5623233;"Hogar de Ancianos ""Narcisa Castillo"", Santa Ana                                                     "
5623234;Cruz Roja Salvadoreña                                                                               
5623235;Fondo Solidario para la Salud                                                                       
5623300;Ramo de Trabajo y Previsión Social                                                                  
5623301;Instituto Salvadoreño de Fomento Cooperativo                                                        
5623302;Instituto Salvadoreño de Formación Profesional                                                      
5623303;Instituto Salvadoreño del Seguro Social                                                             
5623304;Fondo de Protección de Lisiados y Disc. a Cons. del C. A.                                           
5623400;Ramo de Vivienda y Desarrollo Urbano                                                                
5623401;Fondo Nacional para la Vivienda Popular                                                             
5623402;Instituto Libertad y Progreso                                                                       
5624100;Ramo de Economía                                                                                    
5624101;Comité Ejecutivo de la Feria Internacional de El Salvador                                           
5624102;Consejo Nacional de Ciencia y Tecnología                                                            
5624103;Consejo de Vigilancia de la Contaduría Pública y Auditoría                                          
5624104;Instituto Salvadoreño de Turismo                                                                    
5624105;Consejo Salvadoreño del Café                                                                        
5624106;Comisión Ejecutiva Hidroeléctrica del Rio Lempa                                                     
5624107;Fondo de Financiamiento y Garantía para la Pequeña Empresa                                          
5624108;Corporación Salvadoreña de Turismo                                                                  
5624109;Superintendencia General de Energía y Telecomunicaciones                                            
5624110;Superintendencia de Valores                                                                         
5624111;Superintendencia de Pensiones                                                                       
5624112;Corporación Salvadoreña de Inversiones                                                              
5624113;Instituto Nacional del Azúcar                                                                       
5624114;Centro Nacional de Registros                                                                        
5624115;Fondo de Inversión Nacional en Electricidad y Telefonía                                             
5624117;Superintendencia de Competencia                                                                     
5624118;Defensoría del Consumidor                                                                           
5624119;Consejo Nacional de Energia                                                                         
5624120;Consejo Nacional de Calidad                                                                         
5624121; Instituto Salvadoreño de Fomento Cooperativo                                                       
5624122;Comisión Nacional de la Micro y Pequeña Empresa                                                     
5624153;Fondo especial de los recursos provenientes de la privatización de ANTEL (FANTEL)                   
5624154;Comisión Nacional de la Micro y Pequeña Empresa (CONAMYPE)                                          
5624200;Ramo de Agricultura y Ganadería                                                                     
5624201;Instituto Salvadoreño de Transformación Agraria                                                     
5624202;Centro Nacional de Tecnología Agropecuaria y Forestal                                               
5624203;Escuela Nacional de Agricultura                                                                     
5624204;Banco de Tierras                                                                                    
5624206;Consejo Salvadoreño del Café                                                                        
5624300;Ramo de Obras Públicas                                                                              
5624301;Administración Nacional de Acueductos y Alcantarillados                                             
5624302;Fondo Social para la Vivienda                                                                       
5624303;Comisión Ejecutiva Portuaria Autónoma                                                               
5624304;Autoridad de Aviación Civíl                                                                         
5624305;Fondo Nacional para la Vivienda popular                                                             
5624306;Fondo de Conservación Vial                                                                          
5624307;Autoridad Marítima Portuaria                                                                        
5624308;Fondo para la Atencion a Victimas de Accidentes de Tránsito                                         
562435;Instituto Libertad y Progreso                                                                       
5624351;Autoridad de Aviacion Civil                                                                         
5624352;Instituto Librertad y Progreso                                                                      
5624400;Ramo de Medio Ambiente y Recursos Naturales                                                         
5624401;Fondo Ambiental de El Salvador                                                                      
5624402;Servicio Nacional de Estudio Territorial                                                            
5624403;Fundación Ecológica de Santa Ana                                                                    
5624451;Servicio Nacional de Estudio Territorial                                                            
5624500;Ramo de Transporte                                                                                  
5624501;Despachadores de Buses                                                                              
5624601;Instituto Salvadoreño de Turismo                                                                    
5624602;Corporación Salvadoreña de Turismo                                                                  
5624991;Banco Central de Reserva de El Salvador                                                             
5624993;Fondo de Saneamiento y Fortalecimiento Financiero                                                   
5628800;Municipios del Departamento de La Paz                                                               
5629100;Municipios del Departamento de Usulután                                                             
5629602;Corporación de Municipalidades de la República de El Salvador                                       
563;Transferencias Corrientes al Sector Privado                                                         
56301;A Empresas Privadas no Financieras                                                                  
56302;A Empresas Privadas Financieras                                                                     
56303;A Organismos sin Fines de Lucro                                                                     
56304;A Personas Naturales                                                                                
56305;Becas                                                                                               
5633120;Academia Salvadoreña de la Lengua Correspondiente de la Real Academia Española                      
5633121;Asociación del Patrimonio Cultural de Santa Ana                                                     
5633122;Academina Salvadoreña de la Historia                                                                
5633123;Asociación General de Archivistas                                                                   
5633124;Ateneo de El Salvador                                                                               
5633125;Patronato Pro-Cultural de El Salvador                                                               
5633126;Patronato Pro-Patrimonio Cultural de El Salvador                                                    
5633127;Asociación Patronato Pro-Restauración Cultural de la Ciudad de Suchitoto                            
5633128;Asociación Pro-Arte de El Salvador                                                                  
5633129;Patronato SonSonateco Pro-Arte de El Salvador                                                       
5633130;Fundación Educativa para las Artes de San Esteban Catarina (FUNDEARTES)                             
5633131;Comité de Restauración y Conservación de la Iglesia Colonial de Santiago Apostol de la Ciudad de Cha
5633132;ArteTeatro                                                                                          
5633133;Fundación Cultural Los 44 de la Heróica Santa Ana                                                   
5633134;Fundación Julia Diaz                                                                                
5633135;Fundación Ballet de El Salvador                                                                     
5633136;Fundación Virgen Maria de la O                                                                      
5633137;Asociación Iniciativa Pro-Arte Popular                                                              
5633138;Patronato Pro-Mejoramiento de la Parroquia Santa Lucia de Suchitoto                                 
5633139;Patronato Pro-Reconstrucción Iglesia Barrio San Esteban San Salvador                                
5633140;Patronato Pro-Restauración y Reconstrucción de la Iglesia de San Migel de Ilobasco                  
5633141;Comité Pro-Restauración de la Iglesia Nuestra Señora de Asunción de Ahuchapan                       
5633142;CELARTE                                                                                             
5633143;ADAPES                                                                                              
5633144;Asociación Museo de los Niños (AMUN)                                                                
5633145;Asociación Nacional Pro-Infancia                                                                    
5633146;Asociación de Muchachas Guias de El Salvador                                                        
5633147;Asociación de Scouts de El Salvador (Campamentos Escolares)                                         
5633148;Caritas de El Salvador                                                                              
5633149;Comité Olimpico de El Salvador                                                                      
5633150;Comité de Olimpiadas Especiales                                                                     
5633151;Fundación Empresial para el Desarrollo Educativo:'ITCA' y Regionales                                
5633152;Fundación Pro-Educación Especial                                                                    
5633153;FUNDASALVA                                                                                          
5633154;Hogar de Paralisis Cerebral 'Roberto Callejas Montalvo'                                             
5633155;Instituto de Educación (Universidad de El Salvador)                                                 
5633156;Sociedad de Señoras Rotarianas Santanecas                                                           
5633157;AGAPE : Instituto Tecnológico de Sonsonate 'ITSO'                                                   
5633158;FUNDAITI: Instituto Tecnológico de Usulutan 'ITU'                                                   
5633159;Consejo Nacional de Educación Superior                                                              
5633160;Otras Instituciones de Educación Superior de educación no Universitaria                             
5633161;Otras Instituciones de Enseñanzas sin Fines de Lucro                                                
5633162;"Corporación del Colegio ""El Espíritu Santo""                                                         "
5633163;Universidad Evangelica de El Savador                                                                
5633164;Universidad Francisco Gavidia                                                                       
5633165;AGAPE, Instituto Tecnólogico de Chalatenango (ITCHA)                                                
5633168;Prémio Nacional de Cultura                                                                          
5633170;Prémio Juegos Florales                                                                              
5633171;Universidad Don Bosco                                                                               
564;Transferencias Corrientes al Sector Externo                                                         
56403;A Gobiernos y Organismos Gubernamentales                                                            
56404;A Organismos Multilaterales                                                                         
56405;A Organismos Sin Fines de Lucro                                                                     
56406;A Personas Naturales                                                                                
61;Inversiones en Activos Fijos                                                                        
611;Bienes Muebles                                                                                      
61101;Mobiliarios                                                                                         
61102;Maquinarias y Equipos                                                                               
61103;Equipos Médicos y de Laboratorios                                                                   
61104;Equipos Informáticos                                                                                
61105;Vehículos de Transporte                                                                             
61106;Obras de Arte y Culturales                                                                          
61107;Libros y Colecciones                                                                                
61108;Herramientas y Repuestos Principales                                                                
61109;Maquinaria y Equipo para la Producción                                                              
61110;Maquinaria y Equipo para Apoyo Institucional                                                        
61199;Bienes Muebles Diversos                                                                             
612;Bienes Inmuebles                                                                                    
61201;Terrenos                                                                                            
61202;Edificios e Instalaciones                                                                           
61299;Inmuebles Diversos                                                                                  
613;Semovientes                                                                                         
61301;Ganado Vacuno                                                                                       
61302;Ganado Caballar                                                                                     
61303;Ganado Porcino                                                                                      
61399;Semovientes Diversos                                                                                
614;Intangibles                                                                                         
61401;Derechos de Propiedad Industrial                                                                    
61402;Derechos de Propiedad Comercial                                                                     
61403;Derechos de Propiedad Intelectual                                                                   
61499;Derechos de Intangibles Diversos                                                                    
615;Estudios de Pre-Inversión                                                                           
61501;Proyectos de Construcciones                                                                         
61502;Proyectos de Ampliaciones                                                                           
61503;Programas de Inversion Social                                                                       
61599;Proyectos y Programas de Inversión Diversos                                                         
616;Infraestructuras                                                                                    
61601;Viales                                                                                              
61602;De Salud y Saneamiento Ambiental                                                                    
61603;De Educación y Recreación                                                                           
