Institución,Tipo/Código del proceso,Nombre del proceso,Resultado,Monto,Fecha Resultado
"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil, Mejicanos, San Salvador",Libre gestión 20200009,DELANTALES CON PLOMO PARA ADULTO,Adjudicada,"$1,965.00",17/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil, Mejicanos, San Salvador",Libre gestión 20200037,SET DE IRRIGACION,Adjudicada,$155.00,17/04/2020
"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil, Mejicanos, San Salvador",Libre gestión 20200038,HOJA DE SHAVER,Adjudicada,$155.00,17/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200342,Llantas para pick up 4x4,Adjudicada,$322.12,17/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200368,Desinfectante antibacterial en toalla humeda,Adjudicada,"$2,400.00",17/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200343,Baterías para vehículos,Adjudicada,$110.04,17/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200140,10 - Cartucho de Tinta negro para impresor HP Officetjet 7110; formato amplio HP 932 XL 8 - Cartucho de Tinta cyan para impresor HP Officetjet 7110; formato amplio HP 933 XL 8 - Cartucho de Tinta magenta para impresor HP Officetjet 7110; formato amplio HP 933 XL 8 - Cartucho de Tinta amarillo para impresor HP Officetjet 7110; formato amplio HP 933 XL,Adjudicada,$828.98,17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200081,"1,050 BOLSAS DE DETERGENTE EN POLVO DE 1,500 GRAMOS",Adjudicada,"$1,470.00",17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200085,"1,000	JABON DE BARRA TIPO NEUTRAL DE 200 GRAMOS PARA MANOS 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020",Adjudicada,$499.59,17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200083,"1,000	GALONES DE ALCOHOL EN GEL 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020",Adjudicada,"$11,488.65",17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200080,"2,000 GALONES DE LEJÍA AL 7% DE CONCENTRACIÓN",Adjudicada,"$3,300.00",17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200079,400	PAQUETES DE BOLSAS PLASTICAS TIPO JARDIN (PAQUETE DE 5 UNIDADES) 	FECHA LIMITE DE RECEPCION DE OFERTA: 13/04/2020,Adjudicada,$180.00,17/04/2020
Municipalidad de Metapán,Libre gestión 20200057,"MATERIALES DE FERRETERIA; PARA EL PROYECTO 20006 PERFORACION DE POZO (280 MTS) Y EQUIPAMIENTO9 ELECTROMECANICO CASERIO SAN JORGE, CTON MALPASO METAPAN.",Adjudicada,"$9,151.33",17/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200213,ADQUISICIÓN DE CERTIFICADO DIGITAL SSL PARA LOS SITIOS WEB BAJO EL DOMINIO TRANSPARENCIAFISCAL.GOB.SV DEL MINISTERIO DE HACIENDA DE EL SALVADOR,Adjudicada,$970.00,17/04/2020
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200118,200-UNIDADES DE LENTES DE PROTECCIÓN TIPO GOOGLE,Adjudicada,$216.60,17/04/2020
Ministerio de Trabajo y Previsión Social (MTPS),Libre gestión 20200076,SERVICIO DE ARRENDAMIENTO DE RADIOS DE COMUNICACIÓN DIGITAL,Adjudicada,"$3,209.60",17/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200119,REPARACIÓN DE SISTEMA DE INYECCIÓN PARA EQUIPO C-057,Adjudicada,"$2,705.22",17/04/2020
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200102,ADQUISICION DE MEDICAMENTOS PARA USO DE LA CLINICA EMPRESARIAL,Adjudicada,"$1,974.80",17/04/2020
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200053,SERVICIOS DE MANTENIMIENTO DE JARDÍN VERTICAL Y AZOTEA VERDE,Adjudicada,"$6,365.00",17/04/2020
Municipalidad de Soyapango,Libre gestión 20200015,ARRENDAMIENTO DE 60 GPS PARA AUTOMOTORES Y EQUIPO DE ALTA GAMA,Adjudicada,"$12,610.80",17/04/2020
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,Libre gestión 20200038,"SUMINISTRO DE PAPEL HIGIENICO, PAPEL TOALLA Y SERVILLETAS",Adjudicada,"$4,470.00",17/04/2020
Municipalidad de San Emigdio,Libre gestión 20200007,COMPRA DE 950 QUINTALES DE SULFATO DE AMONIO Y FORMULA 16-20-0,Adjudicada,"$34,627.50",17/04/2020
Fiscalía General de la República (FGR),Libre gestión 20200073,SERVICIO DE MANTENIMIENTO PREVENTIVO PARA DIFERENTES TIPOS DE ARMAS,Adjudicada,"$1,050.00",17/04/2020
Autoridad de Aviación Civil (AAC),Libre gestión 20200031,Servicio de arrendamiento de equipo de impresión incluyendo servicios de mantenimiento preventivo y correctivo con partes y suministros,Adjudicada,"$13,499.01",17/04/2020
"Hospital Nacional ""Santa Teresa"", Zacatecoluca, La Paz",Libre gestión 20200033,"SE SOLICITA COTIZACIÓN DE PAN FRANCÉS POR UNIDAD PARA SER ENTREGADO EN EL DEPARTAMENTO DE ALIMENTACIÓN DE DIETAS, SEGUN LAS NECESIDADES DEL JEFE DEL AREA.",Adjudicada,"$7,000.00",17/04/2020
Municipalidad de Soyapango,Libre gestión 20200111,TALLER TEORICO DEL PROCEDIMIENTO ADMINISTRATIVO SANCIONADOR DE LA LEY DE PROCEDIMIENTO ADMINISTRATIVO,Adjudicada,$762.65,17/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200212,ADQUISICIÓN DE COMPUTADORA DE ESCRITORIO,Adjudicada,$930.00,17/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200211,MANTENIMIENTO CORRECTIVO DE VEHÍCULO N-5145,Adjudicada,$226.61,17/04/2020
Municipalidad de Huizucar,Libre gestión 20190263,CONTATACION DE TECNICO MUNICIPAL PARA LLEVAR A CABO PROGRAMA DE EMPRENDIMIENTO SOLIDARIO IP 2019. CONVENIO FISDL,Adjudicada,"$15,600.00",17/04/2020
Ministerio de Hacienda (MHDA),Libre gestión 20200210,MANTENIMIENTO CORRECTIVO DE VEHÍCULO N-17944,Adjudicada,$262.96,17/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200041,Compra de equipo de sonido para sala de reuniones de la Presidencia,Adjudicada,"$3,202.09",17/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Ministerio de Hacienda (MHDA),Libre gestión 20200209,MANTENIMIENTO CORRECTIVO VEHÍCULO N-14335,Adjudicada,"$1,495.50",17/04/2020
Municipalidad de Jucuarán,Libre gestión 20200009,"FORMULACIÓN DE CARPETA TÉCNICACONSTRUCCION DE RAMPAS DE MAMPOSTERIA Y SUPERFICIE DE CONCRETO EN DIFERENTES ECTORES DE PLAYA EL ESPINO, MUNICIPIO DE JUCURAN DEPARTAMENTO DE USULUTAN",Adjudicada,"$1,529.78",17/04/2020
"Hospital Nacional de Nueva Concepción, Chalatenango",Libre gestión 20200030,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO PARA EQUIPOS DE AIRE ACONDICIONADO Y REFRIGERACIÓN DEL HOSPITAL NACIONAL DE NUEVA CONCEPCIÓN.,Adjudicada,$735.00,17/04/2020
Municipalidad de Jucuarán,Libre gestión 20200008,"FORMULACIÓN DE CARPETA REPARACION DE EMPEDRADO Y CONCRETEADO DE ACCESO EN SECTOR LA FLECHA, CACERIO EL PLANON CANTON SAMURIA MUNICIPIO DE JUCUARAN DEPARTAMENTO DE USULUTAN",Adjudicada,$917.86,17/04/2020
Municipalidad de Izalco,Libre gestión 20200324,SUMINISTRO E INSTALACION DE LAMINA Y ESTRUCTURA EN CONTENEDOR DE CAMION RECOLECTOR,Adjudicada,"$5,649.46",17/04/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200148,Compra de Detergente Enzimático Galón. (Ver Archivo Adjunto),Adjudicada,"$4,367.50",17/04/2020
Fiscalía General de la República (FGR),Libre gestión 20200074,COMPRA DE CAJAS DE MASCARILLA DESECHABLES.,Adjudicada,$320.00,17/04/2020
Fiscalía General de la República (FGR),Libre gestión 20200045,ADQUISICIÓN MATERIALES ELÉCTRICOS,Adjudicada,"$14,544.11",17/04/2020
Municipalidad de Izalco,Libre gestión 20200323,COMPRA DE 9 MT3 DE ARENA Y 9 MT3 DE PIEDRA QUE SERAN UTILIZADOS EN CONCRETEADO HIDRAULICO EN COLONIA LAS MAGNOLIAS CANTON SAN ISIDRO,Adjudicada,$247.50,17/04/2020
Fiscalía General de la República (FGR),Libre gestión 20200077,PAPEL TOALLA Y JABON LIQUIDO,Adjudicada,"$2,830.00",17/04/2020
Comisión Nacional de la Micro y Pequeña Empresa (CONAMYPE),Libre gestión 20200061,"CONTRATACIÓN DE SERVICIOS DE GESTIÓN Y DESARROLLO DE ASESORÍAS TÉCNICAS EN LÍNEA, DIRIGIDA A JÓVENES EMPRENDEDORES Y MYPE EN LA CREACIÓN DE PROTOTIPOS QUE PLANTEEN SOLUCIONES INNOVADORAS EN RESPUESTA A LA CRISIS DEL COVID 2019, A TRAVÉS DE UNA PLATAFORMA VIRTUAL",Adjudicada,"$5,975.00",17/04/2020
Instituto Salvadoreño del Seguro Social (ISSS),Libre gestión 20200057,CONTRATACIÓN DEL SERVICIO DE PRÓTESIS OCULARES PARA CONSULTORIO DE ESPECIALIDADES Y HOSPITAL REGIONAL DE SONSONATE,Adjudicada,"$10,030.00",17/04/2020
Municipalidad de Izalco,Libre gestión 20200322,SERVICIO DE REPARACIÓN DE BOMBA DE AGUA DE CISTERNA PROPIEDAD DE ESTA MUNICIPALIDAD,Adjudicada,$60.00,17/04/2020
"MINISTERIO DE EDUCACIÓN, CIENCIA Y TECNOLOGIA (MINEDUCYT)",Libre gestión 20200037,"APLICACIÓN DE LA PRUEBA DE INGLES ORDINARIA Y EXTRAORDINARIA 2019, A ESTUDIANTES DE PROFESORADO EN IDIOMA INGLES PARA EL TERCER CICLO DE EDUCACIÓN BÁSICA Y MEDIA QUE FINALIZARON SU PLAN DE ESTUDIO",Adjudicada,"$8,500.00",17/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200088,"1	CAMA MATRIMONIAL DE 1.40 *Especificaciones técnicas: ¿	Cama completa, base y colchón, ergonómica, con soporte ortopédico, resortes especiales que eviten que se deforme, ancho de 1.40 mts y de 1.90 mts de largo, con dos almohadas, fundas, cubrecama y sabana. Fecha límite de recepción de oferta: 14/04/2020",Adjudicada,$400.00,17/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200109,"ADQUISICION DE: PAPEL TOALLA, PAPEL HIGIENICO, PANUELOS FACIELA, CONOS DESECHABLES, SERVILLETAS, ETC.",Adjudicada,$21.23,16/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200108,"ADQUISICION DE: ABONO FOLIAR, HERBICIDAM VIDATE, INSECTICIDA EN POLVO",Adjudicada,$96.16,16/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200107,CILINDRO DE GAS FREON DE 30 LBS,Adjudicada,$102.83,16/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200106,"COMPRA MATERIALES:ARENA, CEMENTO HY GRAVA.",Adjudicada,$149.22,16/04/2020
Corte de Cuentas de la República (CCR),Libre gestión 20200081,CONFECCIÓN DE CHALECOS DE TRABAJO PARA AUDITORES DE LA CCR.,Adjudicada,"$2,387.50",16/04/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200163,"COMPRA DE JABÓN LIQUIDO, GALÓN. (VER ARCHIVO ADJUNTO).",Adjudicada,"$1,925.00",16/04/2020
Instituto Salvadoreño de Rehabilitación Integral (ISRI),Libre gestión 20200016,"SUMINISTRO DE REACTIVOS, VER ARCHIVO ADJUNTO",Adjudicada,$107.98,16/04/2020
Instituto Salvadoreño de Rehabilitación Integral (ISRI),Libre gestión 20200026,SUMINISTRO DE MEDICAMENTOS PARA LAS DIFERENTES DEPENDENCIAS DEL ISRI (SE ANEXA TERMINOS DE REFERENCIA),Adjudicada,$206.80,16/04/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200105,MATERIAL ELÉCTRICO PARA ACOMETIDA 220V,Adjudicada,$689.80,16/04/2020
"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador",Libre gestión 20200053,COMPRA DE CUPONES DE COMBUSTIBLE PARA VEHÍCULOS DEL HNSB AÑO 2020,Adjudicada,"$1,750.00",16/04/2020
"Hospital Nacional ""Enfermera Angélica Vidal de Najarro"", San Bartolo, San Salvador",Libre gestión 20200028,ELABORACIÓN DE RECETAS MEDICAS PARA CONSULTA EXTERNA DEL HNSB. FAVOR VER ARCHIVO ANEXO,Adjudicada,"$1,554.00",16/04/2020
Corte de Cuentas de la República (CCR),Libre gestión 20200080,"CONTRATACIÓN DEL SERVICIO DE INSCRIPCIÓN PARA 14 PARTICIPANTES AL PRIMER CONGRESO INTERNACIONAL DE DERECHO DE LAS NUEVAS TECNOLOGÍAS ""INSERTANDO A EL SALVADOR EN LA ERA DIGITAL""",Adjudicada,$892.50,16/04/2020
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",Libre gestión 20200088,"GABACHONES HOSPITALARIOS DESCARTABLES, EMPAQUE INDIVIDUAL, ESTERIL, TALLA M.",Adjudicada,"$71,969.70",16/04/2020
"Ministerio de Educación, Ciencia y Tecnología (MINEDUCYT)",Libre gestión 20200047,"MÁQUILA DE DATOS EXPEDIENTES DE MAESTROS QUE OPTAN A PLAZAS VACANTES DE DOCENTES, CARGOS DE DIRECTOR Y SUBDIRECTOR Y DE ASPIRANTES AL ASCENSO AL NIVEL UNO DEL ESCALAFÓN DOCENTE Y EVALUACIONES, EN EL AÑO 2020",Adjudicada,"$22,500.00",16/04/2020
Academia Nacional de Seguridad Pública,Libre gestión LG-0181-2020,"ADQUISICIÃN DE PAPEL HIGIÃNICO, PAPEL TOALLA Y VASOS CÃNICOS DESECHABLES (Departamento de Almacenes)",Adjudicado,"$7,677.90",16/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200104,"ADQUISICON DE MATERIALES; ANGULO DE HIERRO,LAMINA GALVANIZADA, TORNILLO AUTOROSCANTE, CANUELA, POLIN.",Adjudicada,$968.03,16/04/2020
Presidencia de la República,Libre gestión 20200067,SUMINISTRO DE BATERÍA PARA VEHÍCULO AUTOMOTOR,Adjudicada,$110.00,16/04/2020
Municipalidad de Santa Tecla,Libre gestión 20200039,COMPRA DE MATERIALES Y HERRAMIENTAS DE LIMPIEZA PARA USO DE LA AMST,Adjudicada,"$3,844.00",16/04/2020
Municipalidad de Santa Tecla,Libre gestión 20200040,COMPRA DE TRAPEADORES Y FRANELAS,Adjudicada,"$2,680.00",16/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200090,"1	CAMA MATRIMONIAL DE 1.80 x 1.90 MTS *Especificaciones técnicas: ¿	Cama matrimonial, ergonómica, con medidas de 1.80 x 1.90 mts, que incluya almohada y cubrecama. 	Fecha límite de recepción de oferta: 15/04/2020",Adjudicada,$223.00,16/04/2020
Municipalidad de Santa Tecla,Libre gestión 20200042,COMPRA DE AGUA PURIFICADA PARA CONSUMO DE LA AMST,Adjudicada,"$2,000.00",16/04/2020
Municipalidad de Santa Tecla,Libre gestión 20200041,COMPRA DE CAFÉ Y AZÚCAR PARA USO DE LA AMST,Adjudicada,"$3,999.90",16/04/2020
"Escuela Nacional de Agricultura ""Roberto Quiñónez"" (ENA)",Libre gestión 20200103,Suministro e instalación de arco sanitario vehicular.,Adjudicada,"$2,000.00",16/04/2020
"Escuela Nacional de Agricultura ""Roberto Quiñónez"" (ENA)",Libre gestión 20200102,Suministro e instalación de arco sanitario peatonal.,Adjudicada,"$1,000.00",16/04/2020
Municipalidad de Tenancingo,Libre gestión 20200009,"SUPERVISION DEL PROYECTO ""SISTEMA DE ELECTRIFICA PARA BOMBEO DE AGUA POTABLE EN CANTON ROSARIO PERICO, TENANCINGO""",Adjudicada,"$2,000.00",16/04/2020
Presidencia de la República,Libre gestión 20200066,SUMINISTRO DE BATERÍAS PARA VEHÍCULO,Adjudicada,$110.00,16/04/2020
Instituto Nacional de Pensiones de los Empleados Públicos (INPEP),Libre gestión 20200076,SUMINISTRO DE INSUMOS MÉDICOS PARA EMERGENCIA DE COVID-19,Adjudicada,"$5,663.56",16/04/2020
Presidencia de la República,Libre gestión 20200065,SUMINISTRO DE BATERÍAS PARA VEHÍCULO,Adjudicada,$90.00,16/04/2020
"Escuela Nacional de Agricultura ""Roberto Quiñónez"" (ENA)",Libre gestión 20200095,Ácido acético glacial y frasco de aerosol limpiador de acero inoxidable.,Adjudicada,$71.84,16/04/2020
Presidencia de la República,Libre gestión 20200064,SUMINISTRO DE BATERÍAS PARA VEHÍCULO,Adjudicada,$80.00,16/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
"Escuela Nacional de Agricultura ""Roberto Quiñónez"" (ENA)",Libre gestión 20200007,Servicio de fumigación en biblioteca,Adjudicada,$550.00,16/04/2020
Presidencia de la República,Libre gestión 20200063,SUMINISTRO DE BATERÍAS PARA VEHÍCULO,Adjudicada,$220.00,16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200193,"10 metros cuerda de neoprene de 4 mm. de espesor. Especificaciones: 10 metros de longitud en solo tramo., 10 metros cuerda de neoprene de 5 mm. de diametro. Especificaciones: 10 metros de longitud en solo tramo., 10 metros cuerda de neoprene de 6 mm. de diametro. Especificaciones: 10 metros de longitud en solo tramo.",Adjudicada,"$2,153.42",16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200191,60 pieza foco ahorrador de energia de 20 watts x 110/130 volt.. Especificaciones: flourecente.,Adjudicada,"$2,235.54",16/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200044,REPARACION DE CUATRO PROYECTORES. NECESARIA VISITA DE CAMPO.,Adjudicada,$510.00,16/04/2020
Ministerio de Trabajo y Previsión Social (MTPS),Libre gestión 20200077,MANTENIMIENTO CORRECTIVO DE EQUIPO DE BOMBEO,Adjudicada,"$1,846.50",16/04/2020
Universidad Católica de El Salvador,Libre gestión 20200012,SERVICIO DE ALIMENTACION PARA LAS ACTIVIDADES DESARROLLADAS EN EL MARCO PARA DEL PROYECTO ¿FORTALECIMIENTO DEL INSTITUTO NACIONAL DE FORMACION DOCENTE PARA LA MEJORA DE LA CALIDAD DE LA FORMACION INICIAL Y CONTINUA DE DOCENTES¿,Adjudicada,"$5,000.00",16/04/2020
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),Libre gestión 20200110,"1 ESTANTE METALICO DE 5 TRAMOS O ENTREPAÑOS, DE 2.0 METROS DE ALTO, 0.92 M. DE ANCHO Y 0.5 M. DE PROFUNDIDAD.",Adjudicada,$84.00,16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200197,"15 pieza elemento para filtro de aceite de 1.75 pulg. de di¿metro exterior x 0.87 pulg. de di¿metro interior x 3.56 pulg. de alto, presi¿n de colapso 3000 psi, mesh 25 ¿m. Especificaciones: , 10 pieza elemento para filtro de aceite de 45 mm de di¿metro exterior x 25 mm de di¿metro interior x 114.5 mm de alto, presi¿n de colapso 3000 psi, mesh 15 ¿m.. Especificaciones: , 25 pieza elemento para filtro de aceite de 2.63 pulg. de diametro ext x 1.25 pulg. de diametro int x 4.70 pulg. de alto presion de colapso 70 psi, mesh 10 ¿m.. Especificaciones:",Adjudicada,"$4,085.70",16/04/2020
Presidencia de la República,Libre gestión 20200062,SUMINISTRO DE BATERIA ÁRA VEHICULO AUTOMOTOR,Adjudicada,$135.00,16/04/2020
Policía Nacional Civil (PNC),Libre gestión 20200084,196 SILLAS PLASCTICAS. Elaboradas en plástico de alta resistencia al peso y uso. Adjuntar imagen. FECHA Y HORA LÍMITE PARA PRESENTAR OFERTA: Martes 14 de abril de 2020.,Adjudicada,"$1,058.40",16/04/2020
"Hospital Nacional ""Santa Teresa"", Zacatecoluca, La Paz",Libre gestión 20200016,EQUIPO MEDICOS,Adjudicada,$850.00,16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200292,"60 kilogramo silica gel estado solido. Especificaciones: color naranja, en granulos de 1 a 3 mm de di¿metro.",Adjudicada,"$3,360.00",16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200236,200 YARDAS DE PLASTICO.,Adjudicada,$164.00,16/04/2020
"Ministerio de Educación, Ciencia y Tecnología (MINEDUCYT)",Libre gestión 20200055,"SERVICIOS DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MOTOCICLETAS DEL MINEDUCYT, AÑO 2020",Adjudicada,"$7,407.96",16/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200293,"12 pieza temporizador universal de 24/240 vdc/ac x frecuencia 50/60 hz. para el gobernador. Especificaciones: digital, para instgalarse en riel din, de 0.1 seg. hasta 999 horas na + nc",Adjudicada,$540.00,16/04/2020
Tribunal Supremo Electoral (TSE),Libre gestión 20200052,SERVICIO DE ALIMENTACION,Adjudicada,$422.87,16/04/2020
Corte de Cuentas de la República (CCR),Libre gestión 20200005,CONTRATACIÓN DE SERVICIO DE FUMIGACIÓN Y CONTROL DE PLAGAS DE ROEDORES E INSECTOS VOLADORES Y RASTREROS PARA LA CORTE DE CUENTAS DE LA REPÚBLICA,Adjudicada,"$6,975.00",16/04/2020
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",Libre gestión 20200086,"INSTALACION DE RED DE OXIGENO Y AIRE MEDICINA, SE ANEXAN DETALLES EN DOC. WORD.",Adjudicada,"$5,036.43",16/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200332,50 galon alcohol a 90 grados. Especificaciones: presentaci¿n en galon,Adjudicada,$376.11,16/04/2020
Municipalidad de Izalco,Libre gestión 20200321,SERVICIO DE MANTENIMIENTO DE CAMION INTER N 14-551 PROPIEDAD DE ESTA MUNICIPALIDAD,Adjudicada,$275.00,16/04/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200124,"SERVICIO DE EMPASTADO: Tamaño carta, 8 libros de aprox. 300 páginas, 1 de aprox. 50 páginas, Leyenda al frente y al dorso.",Adjudicada,$232.00,16/04/2020
"Hospital Nacional ""San Juan de Dios"", San Miguel",Libre gestión 20200104,MATERIALES ELÉCTRICOS PARA ACOMETIDA DE AIRE ACONDICIONADO,Adjudicada,$88.00,16/04/2020
Municipalidad de Izalco,Libre gestión 20200318,COMPRA DE BOLSAS QUE SERAN UTILIZADOS EN EL EMPAQUETADO DE PRODUCTOS ALIMENTICIOS A ENTREGAR A LA POBLACIÓN IZALQUEÑA EN EMERGENCIA COVID-19,Adjudicada,"$1,430.00",16/04/2020
Ministerio de Trabajo y Previsión Social (MTPS),Contratación directa CD02-2020,CONTRATACION DE SERVICIOS JURIDICOS,Adjudicada,"$15,600.00",16/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200097,Compra de megáfonos para el desarrollo de los Juegos Estudiantiles de la Gerencia de Desarrollo Deportivo,Adjudicada,$797.00,15/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200084,Suministro de material para marcacion de canchas de baloncesto del Gimnasio Nacional,Adjudicada,$876.71,15/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200082,Elaboración de banner para el desarrollo de las actividades de la Gerencia de Desarrollo Deportivo,Adjudicada,$265.00,15/04/2020
Instituto Nacional de los Deportes de El Salvador (INDES),Libre gestión 20200044,Suministro de kit de presentacion para el desarrollo de actividades deportivas de INDES 2020,Adjudicada,$510.00,15/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200103,"ADQUISICION DE PINTURA ANTICORROSIVA, BROCHA, BISAGRAS, SOLVENTE, ELECTRODOS, ETC.",Adjudicada,$53.25,15/04/2020
,,Monto Total Adjudicado:,,"$47,047,240.53",
Superintendencia de Competencia (SC),Libre gestión 20200064,Servicio de almacenamiento de medios magnéticos en caja de seguridad y colocación de equipos [tres U (3U) de Rack] en centro de datos externo para el período de enero a diciembre de dos mil veinte,Adjudicada,"$2,038.20",15/04/2020
Superintendencia de Competencia (SC),Libre gestión 20200063,"Se requiere servicios de internet y enlaces de datos para la Superintendencia de Competencia, para el período del 1 de enero al 31 de diciembre de 2020.  Instalación, suministro y soporte técnico de internet y enlaces de datos para el período del 1 de enero al 31 de diciembre de 2020, de acuerdo con el siguiente detalle: a) Internet dedicado con ancho de banda de 15Mbps. Proveer como mínimo 10 direcciones IP públicas. b) Enlace de datos con ancho de banda de 256 Kbps para conexión permanente entre la Superintendencia de Competencia y el Ministerio de Hacienda. c) Enlace de datos con ancho de banda de 6Mbps para conexión permanente entre la Superintendencia de Competencia y centro de datos externo. El servicio debe incluir: - Provisión de ancho de banda de internet simétrico; - Proporcionar el hardware, software, cables y aditamentos necesarios para entregar la señal en los diferentes puntos indicados; - Realizar los cambios o modificaciones técnicas, actualizaciones de software, conectividad con la red de datos, instalación, puesta en marcha del servicio y asegurar la compatibilidad de equipos; - Asegurar la confidencialidad e integridad de la información transmitida y la disponibilidad del servicio; - Proveer un sistema de monitoreo de los enlaces instalados de donde puedan obtenerse reportes del uso del ancho de banda, comportamiento del servicio y detección de fallas; - Brindar atención de consultas, reporte de incidentes, corrección de fallas y soporte técnico 24/7; Además, asegurar un tiempo de respuesta a incidentes (fallas) máximo de 2 horas a partir del reporte de la misma, el tiempo de indisponibilidad acumulada mensual no deberá exceder el 1% y cumpliendo con el 99% de disponibilidad mensual del servicio.",Adjudicada,"$8,283.60",15/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200102,"ADQUISICON DE PRODUCTOS FERRETERICOS; CHORRO, MANGUERA, EMPAQUES, CODOS, BATERIAS, LUBRICANTES.",Adjudicada,$635.94,15/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200317,SERVICIO DE GUARDAVIDAS,Adjudicada,$736.72,15/04/2020
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),Libre gestión 20200316,SERVICIO DE GUARDAVIDAS,Adjudicada,$736.72,15/04/2020
Instituto de Previsión Social de la Fuerza Armada (IPSFA),Libre gestión 20200101,"CUATONES, TABLA DE CONACASTE, PUERTAS DE MADERA.",Adjudicada,$627.00,15/04/2020
Ministerio de Trabajo y Previsión Social (MTPS),Libre gestión 20200104,COMPRA DE CHALECOS,Adjudicada,"$7,125.00",15/04/2020
