Institución,Código del proceso/Tipo,Nombre del proceso,Inscripción,Fecha de Convocatoria,Tipo Cotización
Municipalidad de Sonsonate,20200082  Libre gestión,MANO DE OBRA,No Vigente,13/03/2020,Presencial
Comisión Ejecutiva Portuaria Autónoma (CEPA),20200103  Libre gestión,LLANTA 13R 22.5,No Vigente,13/03/2020,Presencial
Fondo Ambiental de El Salvador (FONAES),20200043  Libre gestión,ADQUISICIÓN DE AGUA EMBOTELLADA,No Vigente,13/03/2020,Presencial
Corte de Cuentas de la República (CCR),CD-01/2020  Contratación directa,SUMINISTRO DE PRODUCTOS FARMACEUTICOS Y MEDICINALES ANTE LA DECLARATORIA DE EMERGENCIA NACIONAL POR CORONAVIRUS,No Vigente,13/03/2020,Presencial
Municipalidad de San Salvador,20200625  Libre gestión,COMPRA DE CARNET DEPORTIVOS PARA TORNEOS COMUNALES PROGRAMA 2,No Vigente,13/03/2020,Presencial
Ministerio de Vivienda,20200009  Libre gestión,"COMPRA DE LAMINAS DE ALEACIÓN ZINC-ALUMINIO Y PLÁSTICO NEGRO PARA EL PROGRAMA DE MEJORAMIENTO DE VIVIENDAS PARA FAMILIAS DE ESCASOS RECURSOS, A NIVEL NACIONAL",No Vigente,13/03/2020,Presencial
Fondo Nacional de Vivienda Popular (FONAVIPO),20200167  Libre gestión,ADQUISICIÓN DE 83 VALES DE SUPERMERCADO GIFT CARD PARA EL RECONOCIMIENTO AL DESEMPEÑO DE LOS EMPLEADOS DE FONAVIPO,No Vigente,13/03/2020,Presencial
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),20200280  Libre gestión,Platinas de hierro y hierro plano.,No Vigente,13/03/2020,Presencial
Consejo Nacional de Calidad (CNC),20200102  Libre gestión,Compra de medicamento para botiquín según archivo,No Vigente,13/03/2020,Presencial
Tribunal Supremo Electoral (TSE),20200058  Libre gestión,ADQUISICION DE MATERIALES DE FERRETERIA,No Vigente,13/03/2020,Presencial
Ministerio de Justicia y Seguridad Pública,20200131  Libre gestión,"ADQUISICION DE IMPLEMENTOS MUSICALES, PARA PROGRAMA ACTIVANDO SENTIDOS, LAS PAREDES HABLAN Y ESCUELAS DEPORTIVAS DENTRO DEL PROYECTO DINAMIZANDO MI PAIS, FOMENTANDO UNA CULTURA DE PAZ Y CONVIVENVIA CIUDADANA¿",No Vigente,13/03/2020,Presencial
Municipalidad de Aguilares,20200038  Libre gestión,SUMINISTRO DE MATERIAL DEPORTIVO,No Vigente,13/03/2020,Presencial
Dirección Nacional de Medicamentos (DNM),20200016  Libre gestión,¿ADQUISICION DE EQUIPO FOTOGRAFICO PARA LA UNIDAD DE COMUNICACIONES DE LA DNM¿,No Vigente,13/03/2020,Presencial
Municipalidad de Aguilares,20200036  Libre gestión,SUMINISTRO DE CONOS AULADOS,No Vigente,13/03/2020,Presencial
Ministerio de Obras Públicas y de Transporte (MOP),20200082  Libre gestión,"Supervisión del Diseño y Construcción del Proyecto ¿Construcción de Obras de Protección en final 5ª Avenida Sur y 2ª Calle Poniente, Barrio El Centro, Municipio de Nuevo Cuscatlán, Departamento de La Libertad¿",No Vigente,13/03/2020,Presencial
Instituto Salvadoreño de Bienestar Magisterial,20200029  Libre gestión,"""ADQUISICIÓN DE EQUIPO Y MOBILIARIO PARA APERTURA DE BOTIQUINES MAGISTERIALES PARA EL AÑO 2020¿",No Vigente,13/03/2020,Presencial
Centro Farmacéutico de la Fuerza Armada (CEFAFA),20200067  Libre gestión,Adquisición de Bolsas Plásticas para empaque de productos farmacéuticos con material virgen,No Vigente,13/03/2020,Presencial
Ministerio de Desarrollo Local,20200006  Libre gestión,SUMINISTRO DE ALCOHOL GEL Y DISPENSADORES PARA EL MINDEL,No Vigente,13/03/2020,Presencial
Ministerio de Relaciones Exteriores (RR.EE.),20200173  Libre gestión,SERVICIO DE PUBLICACIÓN EN PERIÓDICO. SEGÚN DETALLE EN ADJUNTO.,No Vigente,13/03/2020,Presencial
Ministerio de Relaciones Exteriores (RR.EE.),20200171  Libre gestión,"Elaboracion de 15 medallas fundidas, acabado plata 925, medidas 7.7 cms de diametro x 6 mm. de espesor a dos caras. En anverso busto y texto con leyenda Medalla al mérito Diplomático Dr. José Gustavo Guerrero. Reverso Escudo de El Salvador, incluir funda de pana azul. Archivo adjunto.",No Vigente,13/03/2020,Presencial
Ministerio de Justicia y Seguridad Pública,DR-CAFTA-LA-16/2020-MJSP  Licitación/Concurso,Servicio de Mantenimiento Preventivo y Correctivo de Equipos de Aire Acondicionado para las Dependencias del Ministerio de Justicia y Seguridad Publica.,No Vigente,13/03/2020,Presencial
Fondo de Conservación Vial (FOVIAL),20200065  Libre gestión,ADQUISICIÓN DE 1 EQUIPO DE VIDEOCONFERENCIA,No Vigente,13/03/2020,Presencial
Administración Nacional de Acueductos y Alcantarillados (ANDA),LP-44/2020  Licitación/Concurso,"SUMINISTRO DE ARRANCADORES ELÉCTRICOS PARA LA GERENCIA REGIÓN METROPOLITANA, AÑO 2020",No Vigente,13/03/2020,Presencial
Municipalidad de Suchitoto,20200061  Libre gestión,"ADQUISICION DE SUMINISTROS DE HIGIENE PARA CENTRO TURISTICO PUERTO SAN JUAN, MUNICIPIO DE SUCHITOTO",No Vigente,13/03/2020,Presencial
Fondo Nacional de Vivienda Popular (FONAVIPO),20200165  Libre gestión,COMPRA DE CARÁCTER URGENTE DE TRES CAJAS DE MASCARILLA DE 50 CADA UNA,No Vigente,13/03/2020,Presencial
Municipalidad de Tonacatepeque,20200038  Libre gestión,1-AJUSTE COMPLETO DE MOTOR MINICARGADOR CATERPILLAR 232B2-SCH03621,No Vigente,13/03/2020,Presencial
Ministerio de Relaciones Exteriores (RR.EE.),DR CAFTA-ADACA-UE No.03/2020  Licitación/Concurso,SERVICIO DE EMISIÓN DE BOLETOS AÉREOS Y TERRESTRES DEL MINISTERIO DE RELACIONES EXTERIORES,No Vigente,13/03/2020,Presencial
Municipalidad de Aguilares,20200037  Libre gestión,SUMINISTRO ACEITE EN BARRIL PARA MAQUINARIA,No Vigente,13/03/2020,Presencial
Administración Nacional de Acueductos y Alcantarillados (ANDA),LP-45/2020  Licitación/Concurso,"SUMINISTRO DE 15,000 LIBRAS DE QUELANTE A BASE DE POLIFOSFATO, AÑO 2020, 2a VEZ",No Vigente,13/03/2020,Presencial
Municipalidad de Santa Ana,20200051  Libre gestión,COMPRA E INSTALACIÓN DE AIRE ACONDICIONADO PARA EL DEPARTAMENTO DE RECUPERACIÓN DE MORA,No Vigente,13/03/2020,Presencial
"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango",20200043  Libre gestión,"COMPRA DE CARTULINA PARA EL HOSPITAL NAC. DR. LUIS E. VASQUEZ, CHALATENANGO",No Vigente,13/03/2020,Presencial
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",20200053  Libre gestión,MATERIAL DE MANTENIMIENTO,No Vigente,13/03/2020,Presencial
Superintendencia del Sistema Financiero,20200075  Libre gestión,"SERVICIO DE RENOVACIÓN DE GARANTÍA Y SOPORTE PARA BALANCEADORES CITRIX 8200 Y 8005, SEGÚN TÉRMINOS DE REFERENCIA ANEXOS.",No Vigente,13/03/2020,Presencial
Consejo Nacional de la Judicatura,LG-0313-2020  Libre gestión,SUMINISTRO DE PAN DULCE EMPAQUETADO PARA EVENTOS DE CAPACITACION ESCUELA DE CAPACITACION JUDICIAL,No Vigente,13/03/2020,Electrónica
Fondo Nacional de Vivienda Popular (FONAVIPO),20200161  Libre gestión,SERVICIO DE CONSTRUCCIÓN DE PARED DE TABLA ROCA Y MODIFICACIÓN DE CUBÍCULOS POR EMERGENCIA,No Vigente,13/03/2020,Presencial
Municipalidad de San Cayetano Istepeque,LPN/AMSCI/01/2020  Licitación/Concurso,COMPRA DE LAMPARAS LED PARA ALUMBRADO PUBLICO.,No Vigente,13/03/2020,Presencial
Comisión Nacional de la Micro y Pequeña Empresa (CONAMYPE),20200054  Libre gestión,ADQUISICION DE RESMAS DE PAPEL BOND B 20 TAMAÑO CARTA,No Vigente,13/03/2020,Presencial
"Hospital Nacional Psiquiátrico ""Dr. José Molina Martínez"", Soyapango, San Salvador",20200062  Libre gestión,CAFETRA DE METAL CON CAPACIDAD PARA 30 TAZAS.,No Vigente,13/03/2020,Presencial
Fondo de Saneamiento y Fortalecimiento Financiero (FOSAFFI),LG-0215-2020  Libre gestión,Suministro de 10 cintas Magneticas de respaldo LT02 de 200/400Gb,No Vigente,13/03/2020,Electrónica
"Hospital Nacional Rosales, San Salvador",20200039  Libre gestión,"R1. LÍQUIDO O GEL HEMOSTATICO A BASE DE TROMBINA, CON APLICADOR, CONTENIENDO (8-12) ml, QUE INCLUYA ACCESORIOS, EMPAQUE INDIVIDUAL ESTERIL, DESCARTABLE. ESPECIFICACIONES TÉCNICAS: SE REQUIERE: 1 JERINGA DE 5ml, 1 VASIJA PEQUEÑA Y 2 PUNTAS (UNA FLEXIBLE Y UNA RIGIDA), PARA MAYOR PRECISION AL APLICAR LÍQUIDO / GEL. (VER ANEXO)",No Vigente,13/03/2020,Presencial
Ministerio de Relaciones Exteriores (RR.EE.),20200174  Libre gestión,4 Llantas 185/75R 14 Anexo archivo.,No Vigente,13/03/2020,Presencial
Fondo Ambiental de El Salvador (FONAES),20200042  Libre gestión,SERVICIO DE COMPACTACIÓN A DOMICILIO DE BOTELLAS PET,No Vigente,13/03/2020,Presencial
Corte Suprema de Justicia (CSJ),20200093  Libre gestión,"MANTENIMIENTO PREVENTIVO Y CORRECTIVOS DE EQUIPOS DE LAVANDERIA, DE REFRIGERACION Y DE COCINAS DE LOS CENTROS DE DESARROLLO INFANTIL DE SAN SALVADOR. Ver detalles en documento adjunto.",No Vigente,13/03/2020,Presencial
"Hospital Nacional "" Francisco Menéndez"", Ahuachapán",20200018  Libre gestión,ADQUISICIÓN DE INSUMOS MEDICOS,No Vigente,13/03/2020,Presencial
Municipalidad de Santa Tecla,20200054  Libre gestión,LG-09-2020 IMTECU SUMINISTRO DE MATERIALES DE OFICINA,No Vigente,13/03/2020,Presencial
Instituto Salvadoreño de Formación Profesional (INSAFORP),20200423  Libre gestión,"RENOVACIÓN SUSCRIPCIÓN A LA REVISTA ""ESTRATEGIAS & NEGOCIOS"" PARA EL AÑOS 2020. EN FORMA DIGITAL PARA LA DIRECCIÓN EJECUTIVA, UNIDAD FINANCIERA INSTITUCIONAL, UNIDAD DE AUDITORÍA INTERNA Y EN FORMA IMPRESA PARA EL CENTRO DE DOCUMENTACIÓN E INFORMACIÓN",No Vigente,13/03/2020,Presencial
Instituto Nacional de Pensiones de los Empleados Públicos (INPEP),20200064  Libre gestión,SERVICIO DE ENLACE DE DATOS PARA EL INPEP,No Vigente,13/03/2020,Presencial
Fondo de Inversión Social para el Desarrollo Local (FISDL),20200031  Libre gestión,LIBRE GESTIÓN N°. LG ¿ 33/2020 ¿ FISDL¿SERVICIOS DE TELEFONÍA MÓVIL Y TELEFONÍA FIJA PARA EL FISDL¿.,No Vigente,13/03/2020,Presencial
Municipalidad de Mercedes La Ceiba,20200001  Libre gestión,"ASFALTADO DE TRAMO DE CALLE EN CASERIO LOS NARANJOS, MUNICIPIO DE MERCEDES LA CEIBA, LA PAZ",No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango",20200042  Libre gestión,"COMPRA DE DIÓXIDO DE CARBONO PARA EL HOSPITAL NAC. DR. LUIS E. VÁSQUEZ, CHALATENANGO",No Vigente,12/03/2020,Presencial
Fiscalía General de la República (FGR),20200070  Libre gestión,SUMINISTRO E INSTALACION DE CENTRAL TELEFONICA IP.,No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Dr. Héctor Antonio Hernández Flores"", San Francisco Gotera, Morazán",20200017  Libre gestión,SERVICIO DE MANTENIMIENTO PREVENTIVO DE IMPRESOR,No Vigente,12/03/2020,Presencial
Instituto Salvadoreño de Formación Profesional (INSAFORP),20200421  Libre gestión,IMPRESION DE AFICHES PARA PREVENCION DE CORONAVIRUS,No Vigente,12/03/2020,Presencial
Municipalidad de Ilopango,20200191  Libre gestión,"1 PUBLICACION DE ANUNCIO EN EL PERIODICO DE LICITACION PUBLICA LP-AMILOP-02/2020 DENOMINADO: ADQUISICION DE TERRENO PARA LA CONSTRUCCION DEL PARQUE MEMORIAL MUNICIPAL 1 PUBLICACION DE ANUNCIO EN EL PERIODICO DE LICITACION PUBLICA LP-AMILOP-06/2020 DENOMINADO: COMPRA DE LLANTAS PARA LA FLOTA VEHICULAR DE LA ALCALDIA MUNICIPAL DE ILOPANGO 1 PUBLICACION DE ANUNCIO EN EL PERIODICO DE ADJUDICACION DE LICITACION PUBLICA LP AMILOP-07/2019 DENOMINADO: SEGUNDO LLAMAMIENTO, SUMINISTRO DE COMBUSTIBLE PARA LA FLOTA VEHICULAR DE LA MUNICIPALIDAD DE ILOPANGO, PARA EL PERIODO 2,020 1 PUBLICACION DE ANUNCIO EN EL PERIODICO DE ADJUDICACION DE LICITACION PUBLICA LP-AMILOP 03/2020 DENOMINADO: SUMINISTRO DE MEZCLA ASFALTICA EN FRIO Y EMULSION PARA EL PROYECTO DE RECUPERACION Y MANTENIMIENTO DE CALLES EN EL MUNICIPIO DE ILOPANGO, AÑO 2020",No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200357  Libre gestión,MINITÁPADERAS DPCA EMPAQUE INDIVIDUAL ESTERIL,No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200355  Libre gestión,CANULAS DE TRASQUEOSTOMIA SIN BALON 6.0 PEDIATRICAS Y OTROS,No Vigente,12/03/2020,Presencial
Municipalidad de Ilopango,20200187  Libre gestión,LIBRE GESTION LG-AMILOP-04/2020 DENOMINADO: COMPRA DE PAPELERIA PARA LAS OFICINAS ADMINISTRATIVAS DE LA ALCALDIA MUNICIPAL DE ILOPANGO,No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200348  Libre gestión,APOSITOS HIDROCOLOIDE GRUESO 8 X 8 GILA TINA Y PENSINA EMPAQUE INDIVIDUAL ESTERIL,No Vigente,12/03/2020,Presencial
"Hospital Nacional ""San Juan de Dios"", San Miguel",20200134  Libre gestión,"COMPRA DE INSUMOS REQUERIDOS PARA ATENCIÓN EN LA UNIDAD DE CATETERISMO CARDIACO. (VER ARCHIVO ADJUNTO, 2DA PUBLICACIÓN)",No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200596  Libre gestión,"SEGUNDA CONVOCATORIA de filtros de aceite, combustible, aire. favor enviar su cotización con atención al Lic. José Armando Bruni, Gerente de UACI, al correo mrcampos@sansalvador.gob.sv, precios con dos decimales e IVA incluido.",No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200584  Libre gestión,"4-BARRILES DE ACEITE P/MOTOR 15W40, API CI 4/SL, P/PESADO Y LIVIANO, GASOLINA Y DIESEL, favor enviar ofertas al correo: asromero@sansalvador.gob.sv",No Vigente,12/03/2020,Presencial
Oficina de Planificación del área metropolitana de San Salvador (OPAMSS),20200055  Libre gestión,"Reubicación de 2 equipos de aire en OPAMSS, cambio de rutas de fibra óptica de Internet Corporativo y Adquisición de mesa.",No Vigente,12/03/2020,Presencial
Dirección Municipal para la Gestión Sustentable de Desechos Sólidos,20200069  Libre gestión,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE MOTOCICLETAS DE LA DMGSDS 2020,No Vigente,12/03/2020,Presencial
Corte de Cuentas de la República (CCR),LP-02/2020  Licitación/Concurso,CONTRATACIÓN DEL SERVICIO DE LIMPIEZA PARA LA OFICINA CENTRAL Y REGIONAL DE SAN VICENTE Y SAN MIGUEL DE LA CORTE DE CUENTAS DE LA REPÚBLICA.,No Vigente,12/03/2020,Presencial
Ministerio de Salud (MINSAL),20200085  Libre gestión,SERVICIO DE MANTENIMIENTO PREVENTIVO Y CORRECTIVO DE AIRES ACONDICIONADOS CON FUENTE DE FINANCIAMIENTO: FONDOS FAE,No Vigente,12/03/2020,Presencial
Ministerio de Economía (MINEC),20200097  Libre gestión,"10 JACK DE 2 TONELADAS, CON RODOS, TIPO CARRETILLA.(VER SOLIC. DE COTIZ. CON ESPECIF. EN ARCHIVO ADJUNTO)",No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Dr. Luis Edmundo Vásquez"", Chalatenango",20200041  Libre gestión,"COMPRA DE PRODUCTOS DE LIMPIEZA, PARA EL HOSPITAL NAC. DR. LUIS E. VASQUEZ, CHALATENANGO",No Vigente,12/03/2020,Presencial
Municipalidad de Suchitoto,20200060  Libre gestión,"ADQUISICION DE SUMINISTROS DE CONSTRUCCION PARA EJECUCION DEL PROYECTO: CONSTRUCCION TRAMO DE EMPEDRADO FRAGUADO, COMUNIDAD ALTOS DE LA BERMUDA, CANTON LA BERMUDA, MUNICIPIO DE SUCHITOTO, DEPARTAMENTO DE CUSCATLAN",No Vigente,12/03/2020,Presencial
Ministerio de Justicia y Seguridad Pública,20200129  Libre gestión,ADQUISICION DE UNIFORMES PARA EL PERSONAL DE SEGURIDAD DEL DESPACHO MINISTERIAL DEL MINISTERIO DE JUSTICIA Y SEGURIDAD PÚBLICA,No Vigente,12/03/2020,Presencial
Instituto Salvadoreño de Rehabilitación Integral (ISRI),20200019  Libre gestión,LIBRE GESTION 05/2020 ¿SUMINISTRO DE SERVICIO DE VIGILANCIA PRIVADA Y MONITOREO DE ALARMA PARA LAS DIFERENTES DEPENDENCIAS DEL ISRI¿,No Vigente,12/03/2020,Presencial
Municipalidad de Santiago de La Frontera,20200002  Libre gestión,"obras de mejoramiento en Caserio Baranquilla, Canton la Danta",No Vigente,12/03/2020,Presencial
Administración Nacional de Acueductos y Alcantarillados (ANDA),20200075  Libre gestión,"SUMINISTRO DE BOMBA TIPO TURBINA VERTICAL, PARA POZO1 DE LA ESTACIÓN DE BOMBEO EL ARCO, MUNICIPIO DE TECOLUCA, DEPARTAMENTO DE SAN VICENTE. SE ADJUNTAN ESPECIFICACIONES TÉCNICAS E INVITACIÓN.",No Vigente,12/03/2020,Presencial
Ministerio de Hacienda (MHDA),20200172  Libre gestión,"ADQUISICIÓN DE VASOS Y TAZAS, SEGÚN MUESTRA ADJUNTA.",No Vigente,12/03/2020,Presencial
Instituto Salvadoreño para el Desarrollo Integral de la Niñez y la Adolescencia (ISNA),20200081  Libre gestión,COMPRA DE LEJIA DISPENSADOR DE PAPEL TIPO TOALLA,No Vigente,12/03/2020,Presencial
Municipalidad de Mejicanos,20200110  Libre gestión,"Reconstrucción de los paquetes e hojas traseras, según archivo adjunto.",No Vigente,12/03/2020,Presencial
Fondo Nacional de Vivienda Popular (FONAVIPO),20200158  Libre gestión,COMPRA URGENTE DE 6 CAJAS DE MASCARILLAS INDUSTRIAL PARA PERSONAL DE CAMPO,No Vigente,12/03/2020,Presencial
Ministerio de Economía (MINEC),20200098  Libre gestión,2 SERVICIO DE INSTALACION DE POLARIZADO MED. 0.73M X 1.20M. DE ALTO. 2 SERVICIO DE INSTALACION DE POLARIZADO MED. 1.00M X 1.20M. DE ALTO. (VER SOLIC. DE COTIZ. CON ESPECIF. EN ARCHIVO ADJUNTO),No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200363  Libre gestión,BRAZALETES PARA IDENTIFICACION PADIATRICO Y VENTAS ENYESADA 4 X 25 YARDAS,No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200353  Libre gestión,HOJAS DE DERMATOMO DE PADGETT,No Vigente,12/03/2020,Presencial
Fondo Nacional de Vivienda Popular (FONAVIPO),20200154  Libre gestión,"COMPRA DE CARÁCTER URGENTE DE 1 BOLSA DE AZÚCAR NORMAR EN BOLSITAS (200 UNIDADES) 1 BOTE DE CAFÉ GRANULADO (300 GRAMOS) 1 BOTE DE CREMORA GRANDE DE 16 ONZAS, 3 BOTES DE SALSA DE TOMATE 14 ONZAS, 1 BOTE DE SAL (500 UNIDADES) 3 CAJA DE TÉ DE MANZANILLA (300 UNIDADES) PARA SER UTILIZADAS EN REUNIONES DE PRESIDENCIA Y DIRECCIÓN EJECUTIVA, Y JUNTA",No Vigente,12/03/2020,Presencial
Consejo Nacional de la Niñez y de la Adolescencia (CONNA),20200015  Libre gestión,SERVICIO DE PUBLICACIÓN EN PERIÓDICO DE MAYOR CIRCULACIÓN NACIONAL: ¿CONVOCATORIA PARA LA ELECCIÓN DE TERNAS DE REPRESENTANTES DE LA SOCIEDAD CIVIL EN LA JUNTA DIRECTIVA DE LA OFICINA PARA ADOPCIONES (OPA)¿.,No Vigente,12/03/2020,Presencial
Municipalidad de Mejicanos,20200107  Libre gestión,"SUMINISTRO DE MATERIALES PARA PROYECTO CONCRETEADO HIDRAULICO Y OBRAS DE PROTECCION EN EL PASAJE EL MILAGRO 2, ZONA CENTRO",No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Dr. Jorge Mazzini Villacorta"", Sonsonate",20200051  Libre gestión,SERVICIOS MEDICOS- RADIOLOGO,No Vigente,12/03/2020,Presencial
Tribunal Supremo Electoral (TSE),20200055  Libre gestión,Servicio de Mantenimiento Correctivo para el Vehículo Placas P-840-530,No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200611  Libre gestión,"TERCERA CONVOCATORIA Se solicita suministro de capas de acuerdo a especificaciones tecnicas,favor enviar su cotización con atención al Lic. José Armando Bruni, Gerente de UACI, al correo mrcampos@sansalvador.gob.sv, precios con dos decimales e IVA incluido.",No Vigente,12/03/2020,Presencial
Municipalidad de Mejicanos,20200103  Libre gestión,"COMPRA DE ALCOHOL GEL, JABON DE MANOS LIQUIDO DISPENSADORES, 5000 VOLANTES Y 400 AFICHES, PARA ATENDER LA ALERTA NACIONAL EN MEDIDAS DE PREVENCIÓN POR EL CORONAVIRUS.",No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200602  Libre gestión,"SEGUNDA CONVOCATORIA de filtros de aceite, combustible, aire. filtro hidráulico, filtro de transmision, repiradero de tanque etc,favor enviar su cotización con atención al Lic. José Armando Bruni, Gerente de UACI, al correo mrcampos@sansalvador.gob.sv, precios con dos decimales e IVA incluido.",No Vigente,12/03/2020,Presencial
Instituto Salvadoreño del Seguro Social (ISSS),20200075  Libre gestión,SERVICIO DE ALIMENTACIÓN PARA PACIENTES UNIDAD MÉDICA QUEZALTEPEQUE Y PACIENTES Y PERSONAL DE UNIDAD MÉDICA CHALCHUAPA DEL ISSS,No Vigente,12/03/2020,Presencial
Municipalidad de Metapán,20200065  Libre gestión,CONTRATACION DE SERVICIOS DE AUDITORIA EXTERNA PARA LA ALCALDIA MUNICIPAL DE METAPAN,No Vigente,12/03/2020,Presencial
Comisión Ejecutiva Portuaria Autónoma (CEPA),20200092  Libre gestión,MATERIAL Y SUMINISTRO DE LIMPIEZA,No Vigente,12/03/2020,Presencial
Tribunal Supremo Electoral (TSE),20200056  Libre gestión,Servicio de Mantenimiento Correctivo para el Vehículo Placas P-639-429,No Vigente,12/03/2020,Presencial
Municipalidad de Ilopango,20200190  Libre gestión,65-PANTALONES COLOR NEGRO 65-CAMISAS COLOR BEIGE 65-CAMISAS COLOR CELESTE 65-GORRAS,No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200593  Libre gestión,"SEGUNDA CONVOCATORIA de filtros de aceite, combustible, aire,de aire para pick up. favor enviar su cotización con atención al Lic. José Armando Bruni, Gerente de UACI, al correo mrcampos@sansalvador.gob.sv, precios con dos decimales e IVA incluido.",No Vigente,12/03/2020,Presencial
Centro Nacional de Tecnología Agropecuaria y Forestal (CENTA),20200136  Libre gestión,ADQUISICION DE DOS PARES DE BOTAS DE SEGURIDAD Y UN ARNES MULTIPROPOSITO 5 PUNTOS CON CUERDA DE VIDA TIPO Y (SE ADJUNTA REQUERIMIENTO Y ESPECIFICACIONES TÉCNICAS),No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200586  Libre gestión,"UNIDADES DE TONNER HP laser color negro -m175 cian, favor enviar ofertas al correo: asromero@sansalvador.gob.sv, cotizar con att. a Lic. Jose Armando Bruni, GERENTE UACI",No Vigente,12/03/2020,Presencial
Municipalidad de San Antonio Del Monte,20200191  Libre gestión,"POR COMPRA DE 1 STANDALONE DVR-16 VIDEO CHANNELS NETWORKED, 1HDD Y 1 UPS-LINE INTERACTIVE 360 WATT, 120 V, 6 NEMA OUTLETS",No Vigente,12/03/2020,Presencial
Fondo Nacional de Vivienda Popular (FONAVIPO),20200157  Libre gestión,COMPRA DE MATERIALES PARA MANTENIMIENTO DE EDIFICIO DE FONAVIPO,No Vigente,12/03/2020,Presencial
"Hospital Nacional de Niños ""Benjamín Bloom"", San Salvador",20200354  Libre gestión,PILAS PEQUEÑAS ALCALINAS VER DOCUMENTO ADJUNTO,No Vigente,12/03/2020,Presencial
Municipalidad de Ciudad Arce,20200049  Libre gestión,Compra de equipo para la unidad Municipal de comunicaciones. Ver Archivo Adjunto.,No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200581  Libre gestión,"KIT GENERADOR DE TONOS LAN PRO 200, ADAPTADOR CON CONECTOR COAXIAL, CABES DE CONOXION RJ45 DE PINSA, favor enviar ofertas al correo: asromero@sansalvador.gob.sv, cotizar con att. a Lic. Jose Armando Bruni, Gerente UACI",No Vigente,12/03/2020,Presencial
"Hospital Nacional ""San Rafael"", Santa Tecla, La Libertad",20200055  Libre gestión,S/Cotización 73/2020 - Purificador de Agua,No Vigente,12/03/2020,Presencial
Municipalidad de San Salvador,20200578  Libre gestión,"DISCO DURO EXTERNO, UNIDAD PORTATIL DE ALMACENAMIENTO EXTERNO, favor enviar ofertas al correo: asromero@sansalvador.gob.sv, cotizar con att. a Lic. Jose Armando Bruni, Gerente UACI",No Vigente,12/03/2020,Presencial
"Escuela Nacional de Agricultura ""Roberto Quiñónez"" (ENA)",20200090  Libre gestión,Candados para exterior.,No Vigente,12/03/2020,Presencial
Comisión Ejecutiva Hidroeléctrica del Río Lempa (CEL),20200275  Libre gestión,1 servicios de contabilidad y auditoria. Especificaciones: servicios de auditor¿a fiscal del ejercicio 2020.,No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Dr. Juan José Fernández"", Zacamil, Mejicanos, San Salvador",20200100  Libre gestión,SUMINISTRO E INSTALACION DE VENTANAS DE VIDRIO FIJO Y TIPO FRANCESA,No Vigente,12/03/2020,Presencial
Superintendencia General de Electricidad y Telecomunicaciones (SIGET),20200072  Libre gestión,ADQUISICIÓN DE MATERIALES PARA REPARACIÓN DE TECHOS,No Vigente,12/03/2020,Presencial
Municipalidad de Mejicanos,20200104  Libre gestión,"4 ESCALERAS DE ALUMINIO DE 2 BANDAS DE 10 PIES TIPO II 175 KG, PARA USO DEL PERSONAL DEL ÁREA DE PARQUES Y ZONAS VERDES, PARA EL GRUPO DE PODA.",No Vigente,12/03/2020,Presencial
Municipalidad de Suchitoto,20200059  Libre gestión,"ADQUISICION DE SUMINISTROS DE FERRETERIA PARA REPARACIONES VARIAS EN CENTRO TURISTICO PUERTO SAN JUAN, MUNICIPIO DE SUCHITOTO",No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Nuestra Señora de Fátima"", Cojutepeque, Cuscatlán",20200025  Libre gestión,LICENCIA DE SOFTWARE (ASTARO),No Vigente,12/03/2020,Presencial
"Hospital Nacional ""Nuestra Señora de Fátima"", Cojutepeque, Cuscatlán",20200024  Libre gestión,COMPRA DE ACCESORIOS MEDICOS,No Vigente,12/03/2020,Presencial
